[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.043002s ]
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | ERR: (ThinkException) 非法操作animated_favicon.gif
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | INFO: Tag[ route_check ] --START--
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | INFO: Tag[ app_begin ] --START--
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 72 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 73 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [2] file(): Filename cannot be empty ThinkException.class.php 第 74 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: file ThinkException.class.php 第 78 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: line ThinkException.class.php 第 78 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Array to string conversion ThinkException.class.php 第 80 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: type ThinkException.class.php 第 79 行.
[ 2015-07-22T05:51:23+08:00 ] /index.php/Index/animated_favicon.gif | NOTIC: [8] Undefined index: class ThinkException.class.php 第 79 行.
